"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"05.01.2018 19:00 - 05.01.2018 19:15","591","682"
"05.01.2018 19:15 - 05.01.2018 19:30","591","676"
"05.01.2018 19:30 - 05.01.2018 19:45","587","687"
"05.01.2018 19:45 - 05.01.2018 20:00","587","701"
"05.01.2018 20:00 - 05.01.2018 20:15","576","681"
"05.01.2018 20:15 - 05.01.2018 20:30","571","637"
"05.01.2018 20:30 - 05.01.2018 20:45","564","622"
"05.01.2018 20:45 - 05.01.2018 21:00","556","647"
"05.01.2018 21:00 - 05.01.2018 21:15","542","596"
"05.01.2018 21:15 - 05.01.2018 21:30","531","485"
"05.01.2018 21:30 - 05.01.2018 21:45","525","448"
"05.01.2018 21:45 - 05.01.2018 22:00","516","478"
"05.01.2018 22:00 - 05.01.2018 22:15","503","493"
"05.01.2018 22:15 - 05.01.2018 22:30","496","578"
"05.01.2018 22:30 - 05.01.2018 22:45","487","605"
"05.01.2018 22:45 - 05.01.2018 23:00","480","611"
"05.01.2018 23:00 - 05.01.2018 23:15","510","594"
"05.01.2018 23:15 - 05.01.2018 23:30","512","560"
"05.01.2018 23:30 - 05.01.2018 23:45","508","533"
"05.01.2018 23:45 - 06.01.2018 00:00","499","562"
"06.01.2018 00:00 - 06.01.2018 00:15","482","561"
"06.01.2018 00:15 - 06.01.2018 00:30","476","560"
"06.01.2018 00:30 - 06.01.2018 00:45","473","533"
"06.01.2018 00:45 - 06.01.2018 01:00","462","563"
"06.01.2018 01:00 - 06.01.2018 01:15","470","561"
"06.01.2018 01:15 - 06.01.2018 01:30","464","454"
"06.01.2018 01:30 - 06.01.2018 01:45","451","414"
"06.01.2018 01:45 - 06.01.2018 02:00","436","413"
"06.01.2018 02:00 - 06.01.2018 02:15","442","423"
"06.01.2018 02:15 - 06.01.2018 02:30","435","414"
"06.01.2018 02:30 - 06.01.2018 02:45","427","399"
"06.01.2018 02:45 - 06.01.2018 03:00","420","421"
"06.01.2018 03:00 - 06.01.2018 03:15","422","388"
"06.01.2018 03:15 - 06.01.2018 03:30","414","383"
"06.01.2018 03:30 - 06.01.2018 03:45","412","371"
"06.01.2018 03:45 - 06.01.2018 04:00","407","379"
"06.01.2018 04:00 - 06.01.2018 04:15","409","356"
"06.01.2018 04:15 - 06.01.2018 04:30","407","345"
"06.01.2018 04:30 - 06.01.2018 04:45","407","327"
"06.01.2018 04:45 - 06.01.2018 05:00","403","323"
"06.01.2018 05:00 - 06.01.2018 05:15","410","283"
"06.01.2018 05:15 - 06.01.2018 05:30","409","274"
"06.01.2018 05:30 - 06.01.2018 05:45","413","251"
"06.01.2018 05:45 - 06.01.2018 06:00","405","256"
"06.01.2018 06:00 - 06.01.2018 06:15","416","247"
"06.01.2018 06:15 - 06.01.2018 06:30","418","277"
"06.01.2018 06:30 - 06.01.2018 06:45","418","297"
"06.01.2018 06:45 - 06.01.2018 07:00","423","296"
"06.01.2018 07:00 - 06.01.2018 07:15","385","265"
"06.01.2018 07:15 - 06.01.2018 07:30","387","309"
"06.01.2018 07:30 - 06.01.2018 07:45","394","305"
"06.01.2018 07:45 - 06.01.2018 08:00","401","308"
"06.01.2018 08:00 - 06.01.2018 08:15","402","298"
"06.01.2018 08:15 - 06.01.2018 08:30","416","395"
"06.01.2018 08:30 - 06.01.2018 08:45","425","413"
"06.01.2018 08:45 - 06.01.2018 09:00","438","407"
"06.01.2018 09:00 - 06.01.2018 09:15","448","411"
"06.01.2018 09:15 - 06.01.2018 09:30","451","462"
"06.01.2018 09:30 - 06.01.2018 09:45","454","466"
"06.01.2018 09:45 - 06.01.2018 10:00","461","455"
"06.01.2018 10:00 - 06.01.2018 10:15","468","467"
"06.01.2018 10:15 - 06.01.2018 10:30","475","495"
"06.01.2018 10:30 - 06.01.2018 10:45","480","515"
"06.01.2018 10:45 - 06.01.2018 11:00","485","495"
"06.01.2018 11:00 - 06.01.2018 11:15","494","484"
"06.01.2018 11:15 - 06.01.2018 11:30","500","533"
"06.01.2018 11:30 - 06.01.2018 11:45","501","542"
"06.01.2018 11:45 - 06.01.2018 12:00","506","536"
"06.01.2018 12:00 - 06.01.2018 12:15","505","544"
"06.01.2018 12:15 - 06.01.2018 12:30","514","585"
"06.01.2018 12:30 - 06.01.2018 12:45","523","589"
"06.01.2018 12:45 - 06.01.2018 13:00","529","622"
"06.01.2018 13:00 - 06.01.2018 13:15","533","652"
"06.01.2018 13:15 - 06.01.2018 13:30","529","659"
"06.01.2018 13:30 - 06.01.2018 13:45","520","665"
"06.01.2018 13:45 - 06.01.2018 14:00","515","671"
"06.01.2018 14:00 - 06.01.2018 14:15","513","658"
"06.01.2018 14:15 - 06.01.2018 14:30","506","593"
"06.01.2018 14:30 - 06.01.2018 14:45","500","564"
"06.01.2018 14:45 - 06.01.2018 15:00","497","542"
"06.01.2018 15:00 - 06.01.2018 15:15","493","539"
"06.01.2018 15:15 - 06.01.2018 15:30","487","528"
"06.01.2018 15:30 - 06.01.2018 15:45","484","527"
"06.01.2018 15:45 - 06.01.2018 16:00","480","506"
"06.01.2018 16:00 - 06.01.2018 16:15","482","523"
"06.01.2018 16:15 - 06.01.2018 16:30","480","479"
"06.01.2018 16:30 - 06.01.2018 16:45","477","479"
"06.01.2018 16:45 - 06.01.2018 17:00","479","460"
"06.01.2018 17:00 - 06.01.2018 17:15","479","460"
"06.01.2018 17:15 - 06.01.2018 17:30","483","404"
"06.01.2018 17:30 - 06.01.2018 17:45","488","371"
"06.01.2018 17:45 - 06.01.2018 18:00","500","388"
"06.01.2018 18:00 - 06.01.2018 18:15","508","391"
"06.01.2018 18:15 - 06.01.2018 18:30","519","442"
"06.01.2018 18:30 - 06.01.2018 18:45","529","484"
"06.01.2018 18:45 - 06.01.2018 19:00","537","487"
"06.01.2018 19:00 - 06.01.2018 19:15","534","499"
"06.01.2018 19:15 - 06.01.2018 19:30","536","557"
"06.01.2018 19:30 - 06.01.2018 19:45","539","580"
"06.01.2018 19:45 - 06.01.2018 20:00","535","588"
"06.01.2018 20:00 - 06.01.2018 20:15","527","595"
"06.01.2018 20:15 - 06.01.2018 20:30","521","613"
"06.01.2018 20:30 - 06.01.2018 20:45","514","616"
"06.01.2018 20:45 - 06.01.2018 21:00","503","620"
"06.01.2018 21:00 - 06.01.2018 21:15","497","626"
"06.01.2018 21:15 - 06.01.2018 21:30","486","529"
"06.01.2018 21:30 - 06.01.2018 21:45","473","538"
"06.01.2018 21:45 - 06.01.2018 22:00","464","513"
"06.01.2018 22:00 - 06.01.2018 22:15","462","497"
"06.01.2018 22:15 - 06.01.2018 22:30","454","450"
"06.01.2018 22:30 - 06.01.2018 22:45","441","427"
"06.01.2018 22:45 - 06.01.2018 23:00","432","403"
"06.01.2018 23:00 - 06.01.2018 23:15","490","364"
"06.01.2018 23:15 - 06.01.2018 23:30","499","451"
"06.01.2018 23:30 - 06.01.2018 23:45","498","448"
"06.01.2018 23:45 - 07.01.2018 00:00","495","522"
"07.01.2018 00:00 - 07.01.2018 00:15","475","497"
"07.01.2018 00:15 - 07.01.2018 00:30","470","455"
"07.01.2018 00:30 - 07.01.2018 00:45","463","442"
"07.01.2018 00:45 - 07.01.2018 01:00","457","455"
"07.01.2018 01:00 - 07.01.2018 01:15","461","454"
"07.01.2018 01:15 - 07.01.2018 01:30","451","445"
"07.01.2018 01:30 - 07.01.2018 01:45","447","432"
"07.01.2018 01:45 - 07.01.2018 02:00","438","427"
"07.01.2018 02:00 - 07.01.2018 02:15","430","427"
"07.01.2018 02:15 - 07.01.2018 02:30","426","427"
"07.01.2018 02:30 - 07.01.2018 02:45","417","395"
"07.01.2018 02:45 - 07.01.2018 03:00","413","383"
"07.01.2018 03:00 - 07.01.2018 03:15","410","357"
"07.01.2018 03:15 - 07.01.2018 03:30","404","343"
"07.01.2018 03:30 - 07.01.2018 03:45","399","311"
"07.01.2018 03:45 - 07.01.2018 04:00","395","302"
"07.01.2018 04:00 - 07.01.2018 04:15","394","301"
"07.01.2018 04:15 - 07.01.2018 04:30","393","205"
"07.01.2018 04:30 - 07.01.2018 04:45","391","205"
"07.01.2018 04:45 - 07.01.2018 05:00","389","181"
"07.01.2018 05:00 - 07.01.2018 05:15","383","179"
"07.01.2018 05:15 - 07.01.2018 05:30","381","147"
"07.01.2018 05:30 - 07.01.2018 05:45","381","130"
"07.01.2018 05:45 - 07.01.2018 06:00","381","128"
"07.01.2018 06:00 - 07.01.2018 06:15","376","121"
"07.01.2018 06:15 - 07.01.2018 06:30","378","149"
"07.01.2018 06:30 - 07.01.2018 06:45","379","126"
"07.01.2018 06:45 - 07.01.2018 07:00","382","112"
"07.01.2018 07:00 - 07.01.2018 07:15","340","80"
"07.01.2018 07:15 - 07.01.2018 07:30","343","47"
"07.01.2018 07:30 - 07.01.2018 07:45","347","54"
"07.01.2018 07:45 - 07.01.2018 08:00","352","60"
"07.01.2018 08:00 - 07.01.2018 08:15","354","77"
"07.01.2018 08:15 - 07.01.2018 08:30","359","127"
"07.01.2018 08:30 - 07.01.2018 08:45","365","147"
"07.01.2018 08:45 - 07.01.2018 09:00","368","137"
"07.01.2018 09:00 - 07.01.2018 09:15","374","159"
"07.01.2018 09:15 - 07.01.2018 09:30","376","172"
"07.01.2018 09:30 - 07.01.2018 09:45","375","167"
"07.01.2018 09:45 - 07.01.2018 10:00","381","169"
"07.01.2018 10:00 - 07.01.2018 10:15","389","185"
"07.01.2018 10:15 - 07.01.2018 10:30","396","262"
"07.01.2018 10:30 - 07.01.2018 10:45","405","258"
"07.01.2018 10:45 - 07.01.2018 11:00","412","230"
"07.01.2018 11:00 - 07.01.2018 11:15","420","238"
"07.01.2018 11:15 - 07.01.2018 11:30","427","263"
"07.01.2018 11:30 - 07.01.2018 11:45","433","271"
"07.01.2018 11:45 - 07.01.2018 12:00","440","268"
"07.01.2018 12:00 - 07.01.2018 12:15","443","260"
"07.01.2018 12:15 - 07.01.2018 12:30","451","281"
"07.01.2018 12:30 - 07.01.2018 12:45","460","287"
"07.01.2018 12:45 - 07.01.2018 13:00","469","289"
"07.01.2018 13:00 - 07.01.2018 13:15","470","287"
"07.01.2018 13:15 - 07.01.2018 13:30","469","302"
"07.01.2018 13:30 - 07.01.2018 13:45","464","287"
"07.01.2018 13:45 - 07.01.2018 14:00","458","281"
"07.01.2018 14:00 - 07.01.2018 14:15","447","277"
"07.01.2018 14:15 - 07.01.2018 14:30","442","259"
"07.01.2018 14:30 - 07.01.2018 14:45","437","267"
"07.01.2018 14:45 - 07.01.2018 15:00","432","256"
"07.01.2018 15:00 - 07.01.2018 15:15","427","266"
"07.01.2018 15:15 - 07.01.2018 15:30","423","274"
"07.01.2018 15:30 - 07.01.2018 15:45","420","274"
"07.01.2018 15:45 - 07.01.2018 16:00","420","252"
"07.01.2018 16:00 - 07.01.2018 16:15","418","243"
"07.01.2018 16:15 - 07.01.2018 16:30","415","253"
"07.01.2018 16:30 - 07.01.2018 16:45","415","238"
"07.01.2018 16:45 - 07.01.2018 17:00","413","235"
"07.01.2018 17:00 - 07.01.2018 17:15","413","253"
"07.01.2018 17:15 - 07.01.2018 17:30","417","259"
"07.01.2018 17:30 - 07.01.2018 17:45","424","262"
"07.01.2018 17:45 - 07.01.2018 18:00","432","267"
"07.01.2018 18:00 - 07.01.2018 18:15","450","284"
"07.01.2018 18:15 - 07.01.2018 18:30","462","326"
"07.01.2018 18:30 - 07.01.2018 18:45","472","370"
"07.01.2018 18:45 - 07.01.2018 19:00","476","404"
"07.01.2018 19:00 - 07.01.2018 19:15","486","433"
"07.01.2018 19:15 - 07.01.2018 19:30","485","504"
"07.01.2018 19:30 - 07.01.2018 19:45","489","516"
"07.01.2018 19:45 - 07.01.2018 20:00","488","526"
"07.01.2018 20:00 - 07.01.2018 20:15","482","547"
"07.01.2018 20:15 - 07.01.2018 20:30","475","526"
"07.01.2018 20:30 - 07.01.2018 20:45","475","510"
"07.01.2018 20:45 - 07.01.2018 21:00","466","515"
"07.01.2018 21:00 - 07.01.2018 21:15","466","466"
"07.01.2018 21:15 - 07.01.2018 21:30","456","467"
"07.01.2018 21:30 - 07.01.2018 21:45","451","451"
"07.01.2018 21:45 - 07.01.2018 22:00","440","442"
"07.01.2018 22:00 - 07.01.2018 22:15","435","439"
"07.01.2018 22:15 - 07.01.2018 22:30","428","409"
"07.01.2018 22:30 - 07.01.2018 22:45","420","409"
"07.01.2018 22:45 - 07.01.2018 23:00","413","415"
"07.01.2018 23:00 - 07.01.2018 23:15","464","409"
"07.01.2018 23:15 - 07.01.2018 23:30","466","487"
"07.01.2018 23:30 - 07.01.2018 23:45","459","499"
"07.01.2018 23:45 - 08.01.2018 00:00","450","517"
"08.01.2018 00:00 - 08.01.2018 00:15","440","523"
"08.01.2018 00:15 - 08.01.2018 00:30","433","381"
"08.01.2018 00:30 - 08.01.2018 00:45","425","385"
"08.01.2018 00:45 - 08.01.2018 01:00","420","359"
"08.01.2018 01:00 - 08.01.2018 01:15","435","358"
"08.01.2018 01:15 - 08.01.2018 01:30","429","334"
"08.01.2018 01:30 - 08.01.2018 01:45","416","309"
"08.01.2018 01:45 - 08.01.2018 02:00","411","288"
"08.01.2018 02:00 - 08.01.2018 02:15","416","279"
"08.01.2018 02:15 - 08.01.2018 02:30","409","276"
"08.01.2018 02:30 - 08.01.2018 02:45","407","281"
"08.01.2018 02:45 - 08.01.2018 03:00","403","277"
"08.01.2018 03:00 - 08.01.2018 03:15","401","274"
"08.01.2018 03:15 - 08.01.2018 03:30","398","252"
"08.01.2018 03:30 - 08.01.2018 03:45","394","260"
"08.01.2018 03:45 - 08.01.2018 04:00","392","254"
"08.01.2018 04:00 - 08.01.2018 04:15","396","255"
"08.01.2018 04:15 - 08.01.2018 04:30","396","236"
"08.01.2018 04:30 - 08.01.2018 04:45","396","231"
"08.01.2018 04:45 - 08.01.2018 05:00","396","239"
"08.01.2018 05:00 - 08.01.2018 05:15","399","261"
"08.01.2018 05:15 - 08.01.2018 05:30","400","278"
"08.01.2018 05:30 - 08.01.2018 05:45","402","280"
"08.01.2018 05:45 - 08.01.2018 06:00","406","270"
"08.01.2018 06:00 - 08.01.2018 06:15","415","335"
"08.01.2018 06:15 - 08.01.2018 06:30","422","461"
"08.01.2018 06:30 - 08.01.2018 06:45","431","477"
"08.01.2018 06:45 - 08.01.2018 07:00","441","498"
"08.01.2018 07:00 - 08.01.2018 07:15","428","540"
"08.01.2018 07:15 - 08.01.2018 07:30","445","580"
"08.01.2018 07:30 - 08.01.2018 07:45","469","629"
"08.01.2018 07:45 - 08.01.2018 08:00","498","644"
"08.01.2018 08:00 - 08.01.2018 08:15","510","667"
"08.01.2018 08:15 - 08.01.2018 08:30","530","698"
"08.01.2018 08:30 - 08.01.2018 08:45","553","720"
"08.01.2018 08:45 - 08.01.2018 09:00","564","716"
"08.01.2018 09:00 - 08.01.2018 09:15","590","697"
"08.01.2018 09:15 - 08.01.2018 09:30","595","694"
"08.01.2018 09:30 - 08.01.2018 09:45","598","687"
"08.01.2018 09:45 - 08.01.2018 10:00","599","676"
"08.01.2018 10:00 - 08.01.2018 10:15","607","676"
"08.01.2018 10:15 - 08.01.2018 10:30","610","677"
"08.01.2018 10:30 - 08.01.2018 10:45","613","659"
"08.01.2018 10:45 - 08.01.2018 11:00","619","677"
"08.01.2018 11:00 - 08.01.2018 11:15","617","675"
"08.01.2018 11:15 - 08.01.2018 11:30","620","679"
"08.01.2018 11:30 - 08.01.2018 11:45","625","688"
"08.01.2018 11:45 - 08.01.2018 12:00","625","693"
"08.01.2018 12:00 - 08.01.2018 12:15","623","685"
"08.01.2018 12:15 - 08.01.2018 12:30","630","700"
"08.01.2018 12:30 - 08.01.2018 12:45","637","699"
"08.01.2018 12:45 - 08.01.2018 13:00","641","721"
"08.01.2018 13:00 - 08.01.2018 13:15","633","716"
"08.01.2018 13:15 - 08.01.2018 13:30","616","708"
"08.01.2018 13:30 - 08.01.2018 13:45","607","716"
"08.01.2018 13:45 - 08.01.2018 14:00","598","717"
"08.01.2018 14:00 - 08.01.2018 14:15","605","697"
"08.01.2018 14:15 - 08.01.2018 14:30","603","700"
"08.01.2018 14:30 - 08.01.2018 14:45","598","689"
"08.01.2018 14:45 - 08.01.2018 15:00","594","673"
"08.01.2018 15:00 - 08.01.2018 15:15","596","641"
"08.01.2018 15:15 - 08.01.2018 15:30","589","641"
"08.01.2018 15:30 - 08.01.2018 15:45","587","630"
"08.01.2018 15:45 - 08.01.2018 16:00","584","632"
"08.01.2018 16:00 - 08.01.2018 16:15","573","620"
"08.01.2018 16:15 - 08.01.2018 16:30","575","617"
"08.01.2018 16:30 - 08.01.2018 16:45","574","617"
"08.01.2018 16:45 - 08.01.2018 17:00","574","623"
"08.01.2018 17:00 - 08.01.2018 17:15","573","627"
"08.01.2018 17:15 - 08.01.2018 17:30","579","628"
"08.01.2018 17:30 - 08.01.2018 17:45","586","625"
"08.01.2018 17:45 - 08.01.2018 18:00","599","659"
"08.01.2018 18:00 - 08.01.2018 18:15","594","679"
"08.01.2018 18:15 - 08.01.2018 18:30","612","666"
"08.01.2018 18:30 - 08.01.2018 18:45","619","670"
"08.01.2018 18:45 - 08.01.2018 19:00","635","675"
"08.01.2018 19:00 - 08.01.2018 19:15","625","670"
"08.01.2018 19:15 - 08.01.2018 19:30","621","669"
"08.01.2018 19:30 - 08.01.2018 19:45","629","655"
"08.01.2018 19:45 - 08.01.2018 20:00","623","667"
"08.01.2018 20:00 - 08.01.2018 20:15","610","639"
"08.01.2018 20:15 - 08.01.2018 20:30","603","663"
"08.01.2018 20:30 - 08.01.2018 20:45","592","602"
"08.01.2018 20:45 - 08.01.2018 21:00","583","589"
"08.01.2018 21:00 - 08.01.2018 21:15","582","559"
"08.01.2018 21:15 - 08.01.2018 21:30","566","591"
"08.01.2018 21:30 - 08.01.2018 21:45","545","575"
"08.01.2018 21:45 - 08.01.2018 22:00","536","558"
"08.01.2018 22:00 - 08.01.2018 22:15","529","571"
"08.01.2018 22:15 - 08.01.2018 22:30","516","572"
"08.01.2018 22:30 - 08.01.2018 22:45","503","597"
"08.01.2018 22:45 - 08.01.2018 23:00","496","602"
"08.01.2018 23:00 - 08.01.2018 23:15","530","558"
"08.01.2018 23:15 - 08.01.2018 23:30","539","566"
"08.01.2018 23:30 - 08.01.2018 23:45","530","546"
"08.01.2018 23:45 - 09.01.2018 00:00","524","510"
"09.01.2018 00:00 - 09.01.2018 00:15","507","495"
"09.01.2018 00:15 - 09.01.2018 00:30","453","611"
"09.01.2018 00:30 - 09.01.2018 00:45","449","524"
"09.01.2018 00:45 - 09.01.2018 01:00","444","496"
"09.01.2018 01:00 - 09.01.2018 01:15","439","469"
"09.01.2018 01:15 - 09.01.2018 01:30","427","463"
"09.01.2018 01:30 - 09.01.2018 01:45","425","444"
"09.01.2018 01:45 - 09.01.2018 02:00","421","470"
"09.01.2018 02:00 - 09.01.2018 02:15","418","477"
"09.01.2018 02:15 - 09.01.2018 02:30","416","472"
"09.01.2018 02:30 - 09.01.2018 02:45","414","433"
"09.01.2018 02:45 - 09.01.2018 03:00","412","392"
"09.01.2018 03:00 - 09.01.2018 03:15","408","387"
"09.01.2018 03:15 - 09.01.2018 03:30","407","380"
"09.01.2018 03:30 - 09.01.2018 03:45","407","374"
"09.01.2018 03:45 - 09.01.2018 04:00","403","370"
"09.01.2018 04:00 - 09.01.2018 04:15","403","378"
"09.01.2018 04:15 - 09.01.2018 04:30","413","386"
"09.01.2018 04:30 - 09.01.2018 04:45","413","371"
"09.01.2018 04:45 - 09.01.2018 05:00","413","361"
"09.01.2018 05:00 - 09.01.2018 05:15","411","365"
"09.01.2018 05:15 - 09.01.2018 05:30","433","401"
"09.01.2018 05:30 - 09.01.2018 05:45","435","411"
"09.01.2018 05:45 - 09.01.2018 06:00","436","473"
"09.01.2018 06:00 - 09.01.2018 06:15","438","517"
"09.01.2018 06:15 - 09.01.2018 06:30","462","448"
"09.01.2018 06:30 - 09.01.2018 06:45","466","458"
"09.01.2018 06:45 - 09.01.2018 07:00","471","535"
"09.01.2018 07:00 - 09.01.2018 07:15","473","583"
"09.01.2018 07:15 - 09.01.2018 07:30","547","596"
"09.01.2018 07:30 - 09.01.2018 07:45","551","587"
"09.01.2018 07:45 - 09.01.2018 08:00","557","582"
"09.01.2018 08:00 - 09.01.2018 08:15","561","598"
"09.01.2018 08:15 - 09.01.2018 08:30","595","579"
"09.01.2018 08:30 - 09.01.2018 08:45","599","565"
"09.01.2018 08:45 - 09.01.2018 09:00","601","565"
"09.01.2018 09:00 - 09.01.2018 09:15","600","585"
"09.01.2018 09:15 - 09.01.2018 09:30","605","577"
"09.01.2018 09:30 - 09.01.2018 09:45","608","573"
"09.01.2018 09:45 - 09.01.2018 10:00","613","587"
"09.01.2018 10:00 - 09.01.2018 10:15","615","585"
"09.01.2018 10:15 - 09.01.2018 10:30","614","604"
"09.01.2018 10:30 - 09.01.2018 10:45","622","606"
"09.01.2018 10:45 - 09.01.2018 11:00","626","600"
"09.01.2018 11:00 - 09.01.2018 11:15","629","590"
"09.01.2018 11:15 - 09.01.2018 11:30","633","563"
"09.01.2018 11:30 - 09.01.2018 11:45","640","560"
"09.01.2018 11:45 - 09.01.2018 12:00","647","576"
"09.01.2018 12:00 - 09.01.2018 12:15","648","581"
"09.01.2018 12:15 - 09.01.2018 12:30","624","578"
"09.01.2018 12:30 - 09.01.2018 12:45","623","566"
"09.01.2018 12:45 - 09.01.2018 13:00","622","573"
"09.01.2018 13:00 - 09.01.2018 13:15","622","566"
"09.01.2018 13:15 - 09.01.2018 13:30","615","573"
"09.01.2018 13:30 - 09.01.2018 13:45","613","559"
"09.01.2018 13:45 - 09.01.2018 14:00","605","564"
"09.01.2018 14:00 - 09.01.2018 14:15","605","561"
"09.01.2018 14:15 - 09.01.2018 14:30","603","542"
"09.01.2018 14:30 - 09.01.2018 14:45","601","535"
"09.01.2018 14:45 - 09.01.2018 15:00","600","536"
"09.01.2018 15:00 - 09.01.2018 15:15","597","542"
"09.01.2018 15:15 - 09.01.2018 15:30","588","543"
"09.01.2018 15:30 - 09.01.2018 15:45","587","525"
"09.01.2018 15:45 - 09.01.2018 16:00","587","527"
"09.01.2018 16:00 - 09.01.2018 16:15","587","533"
"09.01.2018 16:15 - 09.01.2018 16:30","587","533"
"09.01.2018 16:30 - 09.01.2018 16:45","589","534"
"09.01.2018 16:45 - 09.01.2018 17:00","593","519"
"09.01.2018 17:00 - 09.01.2018 17:15","604","528"
"09.01.2018 17:15 - 09.01.2018 17:30","610","573"
"09.01.2018 17:30 - 09.01.2018 17:45","617","603"
"09.01.2018 17:45 - 09.01.2018 18:00","625","608"
"09.01.2018 18:00 - 09.01.2018 18:15","626","619"
"09.01.2018 18:15 - 09.01.2018 18:30","629","630"
"09.01.2018 18:30 - 09.01.2018 18:45","631","650"
"09.01.2018 18:45 - 09.01.2018 19:00","633","646"
"09.01.2018 19:00 - 09.01.2018 19:15","631","659"
"09.01.2018 19:15 - 09.01.2018 19:30","609","592"
"09.01.2018 19:30 - 09.01.2018 19:45","606","618"
"09.01.2018 19:45 - 09.01.2018 20:00","602","607"
"09.01.2018 20:00 - 09.01.2018 20:15","599","598"
"09.01.2018 20:15 - 09.01.2018 20:30","564","559"
"09.01.2018 20:30 - 09.01.2018 20:45","560","573"
"09.01.2018 20:45 - 09.01.2018 21:00","555","566"
"09.01.2018 21:00 - 09.01.2018 21:15","551","551"
"09.01.2018 21:15 - 09.01.2018 21:30","517","515"
"09.01.2018 21:30 - 09.01.2018 21:45","509","503"
"09.01.2018 21:45 - 09.01.2018 22:00","502","503"
"09.01.2018 22:00 - 09.01.2018 22:15","499","508"
"09.01.2018 22:15 - 09.01.2018 22:30","524","562"
"09.01.2018 22:30 - 09.01.2018 22:45","527","586"
"09.01.2018 22:45 - 09.01.2018 23:00","530","603"
"09.01.2018 23:00 - 09.01.2018 23:15","524","600"
"09.01.2018 23:15 - 09.01.2018 23:30","497","544"
"09.01.2018 23:30 - 09.01.2018 23:45","494","517"
"09.01.2018 23:45 - 10.01.2018 00:00","487","524"
"10.01.2018 00:00 - 10.01.2018 00:15","480","464"
"10.01.2018 00:15 - 10.01.2018 00:30","435","545"
"10.01.2018 00:30 - 10.01.2018 00:45","427","517"
"10.01.2018 00:45 - 10.01.2018 01:00","418","524"
"10.01.2018 01:00 - 10.01.2018 01:15","411","464"
"10.01.2018 01:15 - 10.01.2018 01:30","405","435"
"10.01.2018 01:30 - 10.01.2018 01:45","401","439"
"10.01.2018 01:45 - 10.01.2018 02:00","396","427"
"10.01.2018 02:00 - 10.01.2018 02:15","394","431"
"10.01.2018 02:15 - 10.01.2018 02:30","395","442"
"10.01.2018 02:30 - 10.01.2018 02:45","393","418"
"10.01.2018 02:45 - 10.01.2018 03:00","389","415"
"10.01.2018 03:00 - 10.01.2018 03:15","388","418"
"10.01.2018 03:15 - 10.01.2018 03:30","385","385"
"10.01.2018 03:30 - 10.01.2018 03:45","379","377"
"10.01.2018 03:45 - 10.01.2018 04:00","379","341"
"10.01.2018 04:00 - 10.01.2018 04:15","381","325"
"10.01.2018 04:15 - 10.01.2018 04:30","385","287"
"10.01.2018 04:30 - 10.01.2018 04:45","389","295"
"10.01.2018 04:45 - 10.01.2018 05:00","389","276"
"10.01.2018 05:00 - 10.01.2018 05:15","393","264"
"10.01.2018 05:15 - 10.01.2018 05:30","408","248"
"10.01.2018 05:30 - 10.01.2018 05:45","415","237"
"10.01.2018 05:45 - 10.01.2018 06:00","422","240"
"10.01.2018 06:00 - 10.01.2018 06:15","433","240"
"10.01.2018 06:15 - 10.01.2018 06:30","438","393"
"10.01.2018 06:30 - 10.01.2018 06:45","450","448"
"10.01.2018 06:45 - 10.01.2018 07:00","465","465"
"10.01.2018 07:00 - 10.01.2018 07:15","485","467"
"10.01.2018 07:15 - 10.01.2018 07:30","517","511"
"10.01.2018 07:30 - 10.01.2018 07:45","537","486"
"10.01.2018 07:45 - 10.01.2018 08:00","553","471"
"10.01.2018 08:00 - 10.01.2018 08:15","569","502"
"10.01.2018 08:15 - 10.01.2018 08:30","586","594"
